Unnamed: 0,OrderId,CustomerId,OrderDate,Age,City,Category,ProductName,Quantity,UnitPrice,DiscountPct,PaymentMethod,OrderStatus,Rating,ShippingDays,DeliveryDistanceKM,Device,MarketingChannel,Spend90d,CouponCode,TotalAmount,Year,Month,Day
50225,ORD1015763,CUST49495,2024-04-25,94,Ahmedabad,Grocery,Coffee Maker,1.0,1416.64,7.58,Net Banking,Processing,3.7,9.0,16.55,Mobile,Direct,770.53,FESTIVE,1309.26,2024.0,4.0,25.0
67044,ORD1027754,CUST49236,2024-07-21,18,Lucknow,Home & Kitchen,Laptop Stand,1.0,469.49,24.13,Credit Card,Processing,3.0,3.0,11.71,Mobile,Organic,28782.88,FESTIVE,356.2,2024.0,7.0,21.0
71268,ORD1019888,CUST38583,2024-05-25,47,Patna,Books,Novel,1.0,3431.13,12.82,Credit Card,Returned,3.9,5.0,20.46,Mobile,Organic,2538.33,FESTIVE,2991.26,2024.0,5.0,25.0
18395,ORD1015262,CUST55946,2024-04-21,18,Mumbai,Electronics,Running Shoes,2.0,673.82,14.13,Wallet,Delivered,4.5,1.0,3.8,Mobile,Email,449.62,NEWUSER,1157.22,2024.0,4.0,21.0
8958,ORD1062144,CUST10931,2025-03-29,18,Patna,Grocery,Coffee Maker,1.0,5601.95,23.6,UPI,Delivered,3.3,7.0,9.66,Mobile,Email,2095.54,FESTIVE,4279.89,2025.0,3.0,29.0
85221,ORD1099701,CUST38849,2025-12-28,34,Kolkata,Grocery,Smart Watch,1.0,597.0,9.49,Credit Card,Processing,4.3,3.0,11.82,Desktop,Paid Search,926.7,not provided,540.34,2025.0,12.0,28.0
25790,ORD1067127,CUST20305,2025-05-05,36,Bengaluru,Books,Running Shoes,1.0,2118.29,11.69,Wallet,Shipped,4.5,1.0,,Mobile,Social,10197.73,NEWUSER,1870.66,2025.0,5.0,5.0
76009,ORD1035037,CUST82594,2024-09-12,31,Bengaluru,Books,Smart Watch,1.0,355.71,8.16,Net Banking,Delivered,3.4,1.0,4.09,Desktop,Direct,1555.56,NONE,326.68,2024.0,9.0,12.0
44339,ORD1054794,CUST56164,2025-02-04,29,Kolkata,Toys,Organic Snacks,1.0,7243.6,11.82,COD,Returned,3.2,5.0,9.28,Mobile,Paid Search,1123.55,SAVE20,6387.41,2025.0,2.0,4.0
44737,ORD1011442,CUST80844,2024-03-24,22,Hyderabad,Beauty,Running Shoes,1.0,5772.16,9.7,Credit Card,Delivered,3.5,6.0,5.61,Desktop,Organic,315.63,FESTIVE,5212.26,2024.0,3.0,24.0
56040,ORD1079312,CUST27345,2025-08-01,24,Delhi,Toys,Coffee Maker,4.0,804.84,6.95,Debit Card,Delivered,4.1,3.0,9.19,Mobile,Email,650.64,not provided,2995.61,2025.0,8.0,1.0
58674,ORD1039819,CUST27632,2024-10-17,24,Chennai,Fashion,Yoga Mat,1.0,1348.92,12.22,COD,Returned,3.7,2.0,6.68,Mobile,not provided,47251.66,FESTIVE,1184.08,2024.0,10.0,17.0
42635,ORD1080654,CUST37646,2025-08-11,44,Chennai,Sports,Coffee Maker,1.0,9436.57,12.68,Wallet,Delivered,4.6,1.0,3.99,Mobile,Organic,7524.76,APP15,8240.01,2025.0,8.0,11.0
87332,ORD1070379,CUST55570,2025-05-28,30,Jaipur,Sports,Face Serum,1.0,146.6,10.08,COD,Delivered,4.9,8.0,6.67,not provided,Paid Search,150.18,NONE,131.82,2025.0,5.0,28.0
73591,ORD1020392,CUST10980,2024-05-28,46,Patna,Beauty,Novel,2.0,452.83,8.62,UPI,Cancelled,3.6,2.0,19.23,Mobile,Organic,1857.27,FESTIVE,827.59,2024.0,5.0,28.0
42552,ORD1071744,CUST62381,2025-06-07,46,Pune,Books,Face Serum,1.0,1086.83,14.45,UPI,Cancelled,4.0,10.0,17.32,Mobile,Direct,1170.66,not provided,929.78,2025.0,6.0,7.0
25609,ORD1030643,CUST62154,2024-08-11,37,Ahmedabad,Grocery,Smart Watch,1.0,127.83,13.9,UPI,Processing,3.8,2.0,,Mobile,Organic,1307.97,SAVE20,110.06,2024.0,8.0,11.0
88208,ORD1002256,CUST13057,2024-01-17,35,Mumbai,Home & Kitchen,Bluetooth Speaker,2.0,1025.03,17.77,Net Banking,Delivered,3.9,4.0,3.84,Mobile,Organic,1963.31,SAVE20,1685.76,2024.0,1.0,17.0
50105,ORD1059791,CUST53186,2025-03-12,31,Lucknow,Grocery,Novel,1.0,528.58,14.43,COD,Shipped,3.1,14.0,12.3,Mobile,Affiliate,49415.66,not provided,452.31,2025.0,3.0,12.0
26605,ORD1041190,CUST83702,2024-10-27,33,Patna,Grocery,Coffee Maker,1.0,610.06,12.58,Debit Card,Delivered,3.8,2.0,11.23,Tablet,Email,1064.15,not provided,533.31,2024.0,10.0,27.0
41922,ORD1011345,CUST83303,2024-03-23,35,Jaipur,Books,Smart Watch,5.0,1057.97,29.87,Debit Card,Delivered,3.7,6.0,36.83,Mobile,Organic,5259.58,NONE,3709.77,2024.0,3.0,23.0
34619,ORD1048255,CUST67321,2024-12-18,28,Bengaluru,Electronics,Novel,2.0,262.76,9.65,UPI,Shipped,3.0,1.0,11.32,Mobile,Social,8421.85,FESTIVE,474.81,2024.0,12.0,18.0
14667,ORD1049391,CUST36342,2024-12-26,34,Lucknow,Sports,Face Serum,1.0,607.57,14.67,Wallet,Delivered,4.5,6.0,16.71,Mobile,Social,8291.08,NONE,518.44,2024.0,12.0,26.0
58160,ORD1049495,CUST45530,2024-12-27,24,Bengaluru,Beauty,Running Shoes,1.0,3153.84,4.07,Wallet,Shipped,5.0,5.0,41.62,Desktop,Organic,,APP15,3025.48,2024.0,12.0,27.0
59647,ORD1063054,CUST74317,2025-04-05,27,Patna,Toys,Novel,1.0,744.96,15.29,Net Banking,Delivered,3.4,1.0,4.26,Mobile,Paid Search,4100.08,NEWUSER,631.06,2025.0,4.0,5.0
85668,ORD1018875,CUST76266,2024-05-17,34,Indore,Electronics,Bluetooth Speaker,1.0,3207.29,20.32,Debit Card,Returned,4.1,6.0,7.99,Mobile,Affiliate,10365.54,NEWUSER,2555.57,2024.0,5.0,17.0
32922,ORD1056045,CUST76000,2025-02-13,24,Jaipur,Fashion,Bluetooth Speaker,3.0,3277.48,4.21,Net Banking,Delivered,4.3,5.0,14.56,Mobile,Paid Search,135231.03,not provided,9418.49,2025.0,2.0,13.0
12931,ORD1089813,CUST42091,2025-10-17,48,Lucknow,Sports,Wireless Headphones,2.0,354.03,3.76,Net Banking,Delivered,3.2,7.0,2.73,Mobile,Organic,11588.56,SAVE20,681.44,2025.0,10.0,17.0
65113,ORD1021933,CUST48404,2024-06-09,57,Chennai,Home & Kitchen,Running Shoes,2.0,1695.27,12.52,UPI,Delivered,4.2,1.0,8.44,Mobile,not provided,8312.69,not provided,2966.04,2024.0,6.0,9.0
81679,ORD1011898,CUST27912,2024-03-27,43,Mumbai,Books,Face Serum,1.0,1781.51,6.83,UPI,Delivered,3.9,3.0,8.05,Mobile,Social,8569.53,FESTIVE,1659.83,2024.0,3.0,27.0
1633,ORD1023462,CUST80768,2024-06-20,19,Patna,Electronics,Running Shoes,5.0,482.77,10.03,UPI,Cancelled,3.9,4.0,9.25,Mobile,Organic,8658.01,not provided,2171.74,2024.0,6.0,20.0
11244,ORD1080637,CUST12803,2025-08-11,26,,Toys,Bluetooth Speaker,2.0,3749.7,27.03,Net Banking,Delivered,5.0,3.0,5.93,Desktop,Email,4248.84,NEWUSER,5472.31,2025.0,8.0,11.0
80208,ORD1002627,CUST77900,2024-01-20,47,Delhi,Fashion,Bluetooth Speaker,1.0,437.75,2.98,COD,Returned,5.0,2.0,4.21,Mobile,Paid Search,,SAVE20,424.71,2024.0,1.0,20.0
25271,ORD1044790,CUST77000,2024-11-22,18,Pune,Fashion,Laptop Stand,1.0,2277.97,17.25,COD,Delivered,4.4,8.0,3.53,Mobile,Social,12835.49,not provided,1885.02,2024.0,11.0,22.0
33673,ORD1075378,CUST90429,2025-07-04,18,Bengaluru,Sports,Face Serum,2.0,1337.58,23.27,Credit Card,Delivered,4.4,3.0,21.28,Mobile,Direct,587.28,SAVE20,2052.65,2025.0,7.0,4.0
42285,ORD1080516,CUST15039,2025-08-10,19,Patna,Home & Kitchen,Laptop Stand,1.0,1351.63,7.88,Wallet,Delivered,4.2,7.0,7.31,Mobile,Email,,FESTIVE,1245.12,2025.0,8.0,10.0
36502,ORD1091118,CUST26600,2025-10-27,38,Chennai,Toys,Novel,1.0,1213.02,16.67,COD,Delivered,3.4,3.0,4.6,Desktop,Paid Search,9223.65,NEWUSER,1010.81,2025.0,10.0,27.0
62494,ORD1000838,CUST77960,2024-01-07,50,Jaipur,Home & Kitchen,Face Serum,2.0,729.05,10.64,Credit Card,Shipped,4.8,3.0,24.66,Mobile,Direct,3070.63,FESTIVE,1302.96,2024.0,1.0,7.0
75883,ORD1061112,CUST55005,2025-03-22,34,Hyderabad,Sports,Laptop Stand,2.0,890.2,1.82,UPI,Delivered,3.9,2.0,2.93,Mobile,Organic,510.47,not provided,1748.0,2025.0,3.0,22.0
71725,ORD1078205,CUST12712,2025-07-24,35,Bengaluru,Fashion,Face Serum,3.0,258.99,21.58,UPI,Delivered,3.9,3.0,36.2,Desktop,Affiliate,23012.19,not provided,609.3,2025.0,7.0,24.0
66165,ORD1009116,CUST93132,2024-03-07,19,,Home & Kitchen,Wireless Headphones,5.0,603.49,13.25,Net Banking,Delivered,4.4,3.0,9.58,Mobile,Paid Search,5232.04,not provided,2617.64,2024.0,3.0,7.0
14541,ORD1001621,CUST77454,2024-01-12,32,Mumbai,Grocery,Novel,3.0,1642.42,22.66,UPI,Processing,4.1,6.0,,Mobile,Social,9145.95,APP15,3810.74,2024.0,1.0,12.0
62783,ORD1016140,CUST56390,2024-04-27,29,Chennai,Grocery,Running Shoes,3.0,169.15,19.75,Net Banking,Delivered,4.8,4.0,4.77,Mobile,Social,5926.47,NONE,407.23,2024.0,4.0,27.0
72456,ORD1036919,CUST41875,2024-09-26,27,Ahmedabad,Home & Kitchen,Organic Snacks,3.0,503.05,14.77,Debit Card,Returned,3.8,9.0,50.75,Mobile,Affiliate,10988.59,FESTIVE,1286.25,2024.0,9.0,26.0
53466,ORD1047821,CUST78582,2024-12-15,40,Ahmedabad,Beauty,Wireless Headphones,1.0,6909.17,7.66,UPI,Cancelled,4.2,8.0,3.37,Mobile,Paid Search,7617.66,SAVE20,6379.93,2024.0,12.0,15.0
73819,ORD1024974,CUST45188,2024-07-01,32,Lucknow,Grocery,Wireless Headphones,1.0,405.16,21.18,Wallet,Processing,2.6,3.0,2.17,Desktop,Social,4161.4,not provided,319.35,2024.0,7.0,1.0
46958,ORD1075811,CUST34930,2025-07-07,29,Delhi,Books,Smart Watch,2.0,549.47,22.46,UPI,Delivered,3.9,2.0,11.29,Mobile,Paid Search,12355.13,FESTIVE,852.12,2025.0,7.0,7.0
69605,ORD1052020,CUST44230,2025-01-14,35,Lucknow,Toys,Organic Snacks,1.0,500.89,15.56,Net Banking,Shipped,4.7,2.0,10.64,Mobile,Direct,787.87,APP15,422.95,2025.0,1.0,14.0
18197,ORD1037842,CUST89994,2024-10-03,41,Pune,,Face Serum,1.0,904.66,18.02,Net Banking,Shipped,3.5,6.0,6.69,Mobile,Social,1468312.08,NEWUSER,741.64,2024.0,10.0,3.0
83000,ORD1078912,CUST88694,2025-07-30,34,Bengaluru,Books,Bluetooth Speaker,1.0,570.6,22.1,Wallet,Processing,4.4,1.0,2.34,Mobile,Direct,9457.13,APP15,444.5,2025.0,7.0,30.0
76249,ORD1010152,CUST95006,2024-03-15,40,,Home & Kitchen,Face Serum,1.0,3329.46,9.42,Credit Card,Delivered,4.0,1.0,14.18,Desktop,Email,8399.1,not provided,3015.82,2024.0,3.0,15.0
26619,ORD1050193,CUST73040,2025-01-01,35,Jaipur,Books,Laptop Stand,3.0,837.31,5.4,UPI,Delivered,3.7,2.0,7.21,Mobile,Paid Search,4630.57,NEWUSER,2376.29,2025.0,1.0,1.0
63809,ORD1014073,CUST99937,2024-04-12,35,Bengaluru,Home & Kitchen,Running Shoes,1.0,3822.04,24.19,UPI,Delivered,2.9,3.0,20.95,Mobile,Organic,1444.07,SAVE20,2897.49,2024.0,4.0,12.0
3732,ORD1065595,CUST65799,2025-04-23,33,Mumbai,Home & Kitchen,Laptop Stand,5.0,413.11,20.51,Net Banking,Processing,3.7,3.0,4.25,Mobile,Affiliate,2320.71,SAVE20,1641.91,2025.0,4.0,23.0
76447,ORD1070592,CUST24435,2025-05-30,18,Hyderabad,Books,Running Shoes,1.0,215.9,9.8,Net Banking,Delivered,3.9,1.0,8.36,Tablet,Organic,976.33,NEWUSER,194.74,2025.0,5.0,30.0
4520,ORD1071107,CUST95753,2025-06-03,50,Lucknow,Beauty,Smart Watch,1.0,153.42,1.41,Net Banking,Processing,3.1,1.0,15.49,Mobile,Paid Search,1422.52,APP15,151.26,2025.0,6.0,3.0
4060,ORD1025504,CUST28021,2024-07-05,45,Chennai,Electronics,Laptop Stand,4.0,467.08,1.92,COD,Shipped,4.1,2.0,10.84,Mobile,Social,2616.21,NEWUSER,1832.45,2024.0,7.0,5.0
77125,ORD1054392,CUST17203,2025-02-01,39,Kolkata,Toys,Bluetooth Speaker,3.0,915.59,7.91,Debit Card,Shipped,3.4,3.0,7.35,Mobile,Organic,1317.74,SAVE20,2529.5,2025.0,2.0,1.0
52988,ORD1028857,CUST76847,2024-07-29,32,Indore,Books,Novel,2.0,726.6,4.51,UPI,Delivered,3.8,11.0,3.92,Mobile,Direct,14964.47,not provided,1387.66,2024.0,7.0,29.0
61852,ORD1021714,CUST72436,2024-06-07,22,Indore,Sports,Yoga Mat,1.0,482.58,27.98,Credit Card,Delivered,3.3,5.0,4.04,Mobile,Email,2352.08,APP15,347.55,2024.0,6.0,7.0
52126,ORD1085907,CUST16606,2025-09-19,44,Ahmedabad,Books,Wireless Headphones,1.0,1861.59,20.73,COD,Shipped,3.5,14.0,10.39,Desktop,Direct,2413.17,NONE,1475.68,2025.0,9.0,19.0
13774,ORD1095257,CUST16779,2025-11-26,40,Lucknow,Grocery,Running Shoes,1.0,1675.74,24.49,Net Banking,Delivered,4.6,3.0,9.14,Mobile,not provided,1550.99,FESTIVE,1265.35,2025.0,11.0,26.0
13099,ORD1099140,CUST90904,2025-12-24,22,Lucknow,Toys,Smart Watch,3.0,268.14,25.55,not provided,Shipped,4.2,2.0,13.58,Desktop,Social,2046.69,SAVE20,598.89,2025.0,12.0,24.0
63389,ORD1059641,CUST15070,2025-03-11,18,Pune,Grocery,Wireless Headphones,2.0,888.88,13.66,COD,Delivered,4.2,1.0,19.94,Mobile,Organic,3313.55,SAVE20,1534.92,2025.0,3.0,11.0
24212,ORD1018664,CUST79044,2024-05-16,33,Delhi,Home & Kitchen,Yoga Mat,1.0,5772.36,9.7,UPI,Delivered,4.5,90.0,28.91,Mobile,Organic,7526.13,NONE,5212.44,2024.0,5.0,16.0
36458,ORD1076492,CUST37240,2025-07-12,18,Ahmedabad,Grocery,Yoga Mat,3.0,702.84,17.87,Wallet,Delivered,4.5,2.0,18.38,Mobile,Organic,995.82,NONE,1731.73,2025.0,7.0,12.0
38306,ORD1037864,CUST93662,2024-10-03,42,Patna,Home & Kitchen,Bluetooth Speaker,2.0,515.42,16.29,UPI,Delivered,5.0,2.0,9.88,Desktop,Affiliate,2736.23,NEWUSER,862.92,2024.0,10.0,3.0
54493,ORD1058400,CUST97914,2025-03-02,20,Delhi,Sports,Organic Snacks,1.0,1637.21,21.07,Wallet,Shipped,4.8,5.0,7.29,Mobile,Organic,2607.65,NEWUSER,1292.25,2025.0,3.0,2.0
12708,ORD1050160,CUST44356,2025-01-01,27,Delhi,Toys,Wireless Headphones,1.0,1763.37,4.88,Net Banking,Processing,2.5,1.0,22.62,Mobile,Organic,6679.14,NONE,1677.32,2025.0,1.0,1.0
30169,ORD1075084,CUST97622,2025-07-02,21,Indore,,Yoga Mat,1.0,459.9,12.4,UPI,Shipped,3.0,1.0,21.52,Mobile,Email,2823.6,SAVE20,402.87,2025.0,7.0,2.0
68998,ORD1029766,CUST67085,2024-08-05,35,Bengaluru,Grocery,Face Serum,1.0,3236.3,4.81,Credit Card,Delivered,3.8,1.0,6.69,Mobile,Paid Search,22052.54,NEWUSER,3080.63,2024.0,8.0,5.0
3992,ORD1059757,CUST69750,2025-03-12,32,Bengaluru,Sports,Yoga Mat,1.0,2922.33,8.72,Wallet,Processing,3.9,6.0,97.87,Mobile,Direct,1940.01,not provided,2667.5,2025.0,3.0,12.0
40652,ORD1017805,CUST53423,2024-05-09,27,Delhi,Home & Kitchen,Laptop Stand,1.0,705.77,14.84,Net Banking,Delivered,4.0,5.0,71.03,Mobile,Paid Search,585848.22,FESTIVE,601.03,2024.0,5.0,9.0
4707,ORD1019131,CUST91560,2024-05-19,29,Ahmedabad,Books,Organic Snacks,1.0,5633.39,20.75,UPI,Delivered,4.0,1.0,1.37,Mobile,Social,9944.67,NEWUSER,4464.46,2024.0,5.0,19.0
33853,ORD1096775,CUST59045,2025-12-07,22,Indore,Sports,Novel,1.0,1263.26,16.38,COD,Cancelled,3.6,4.0,6.95,Mobile,Direct,1182.97,FESTIVE,1056.34,2025.0,12.0,7.0
4018,ORD1025325,CUST66150,2024-07-03,47,Pune,Toys,Organic Snacks,4.0,532.17,6.12,UPI,Delivered,2.8,4.0,6.38,Mobile,Email,2314.9,FESTIVE,1998.4,2024.0,7.0,3.0
56164,ORD1096898,CUST50316,2025-12-08,18,Kolkata,Home & Kitchen,Smart Watch,1.0,909.05,21.45,COD,Delivered,5.0,1.0,13.68,Mobile,Social,4890.77,APP15,714.06,2025.0,12.0,8.0
36026,ORD1041330,CUST92526,2024-10-28,35,Kolkata,Grocery,Yoga Mat,1.0,370.74,28.96,Credit Card,Shipped,3.1,4.0,37.43,Mobile,Affiliate,36469.78,SAVE20,263.37,2024.0,10.0,28.0
