order_id,customer_id,order_date,customer_age,city,category,product_name,quantity,unit_price,discount_pct,payment_method,order_status,rating,shipping_days,delivery_distance_km,device,marketing_channel,customer_spend_90d,coupon_code,total_amount
ORD1048298,CUST55152,2025.08.45,33.0,Lucknow,Grocery,Bluetooth Speaker,1,1270.11,15.27,COD,Delivered,3.6,4.0,4.74,Desktop,Social,10552.73,NEWUSER,1076.16
ORD1081047,CUST35058,2025-08-14,28.0,Chennai,Home & Kitchen,Running Shoes,1,1030.57,1.5,UPI,Delivered,5.0,3.0,16.72,Mobile,Social,894.36,FESTIVE,1015.11
ORD1092754,CUST67495,2025-11-08,31.0,Pune,Beauty,Face Serum,1,284.83,15.65,UPI,Delivered,5.0,6.0,4.4,Mobile,Organic,9866.55,NEWUSER,240.25
ORD1046007,CUST74685,2024-12-01,38.0,Indore,Home & Kitchen,Novel,3,,14.26,Credit Card,Shipped,5.0,6.0,12.49,Mobile,Social,1240.55,APP15,2999.96
ORD1076981,CUST11836,2025-07-15,18.0,Chennai,Electronics,Laptop Stand,2,936.59,13.63,Wallet,Shipped,4.2,3.0,9.91,Mobile,Organic ,17111.92,SAVE20,1617.87
ORD1009651,CUST39008,01/13/2025,48.0,Patna,Toys,Organic Snacks,1,602.74,1.19,Credit Card,Delivered,4.8,2.0,7.43,Desktop,Paid Search,3801.32,NONE,595.57
ORD1043085,CUST10740,2024-11-10,22.0,Patna,Home & Kitchen,Running Shoes,1,1937.76,1.16,Net Banking,Delivered,4.3,2.0,7.79,Mobile,Organic ,4364.38,FESTIVE,1915.28
ORD1094244,CUST98709,2025-11-18,28.0,Indore,Toys,Yoga Mat,2,2740.06,10.39,,Delivered,5.0,6.0,25.49 km,Mobile,Email,409.76,APP15,4910.74
ORD1074568,CUST25214,2025-06-28,46.0,Indore,Toys,Bluetooth Speaker,1,747.43,28.52,Wallet,Delivered,3.1,4.0,5.93,Mobile,Paid Search,1034.82,FESTIVE,534.26
ORD1020894,CUST16675,2024-06-01,28.0,Indore,Books,Bluetooth Speaker,1,2262.87,14.11,Credit Card,Delivered,4.2,2.0,23.95,Mobile,Organic,10855.87,FESTIVE,1943.58
ORD1034481,CUST37254,2024-09-08,38.0,Chennai,Books,Coffee Maker,2,3160.42,5.41,Net Banking,Delivered,3.4,1.0,,Desktop,Organic,2278.52,FESTIVE,5978.88
ORD1015129,CUST56598,2024-04-20,28.0,Ahmedabad,Beauty,Organic Snacks,1,1332.27,3.61,-,Delivered,4.1,1.0,9.94,Mobile,Organic,365.34,NEWUSER,1284.18
ORD1078290,CUST96373,2025-07-25,18.0,Bengaluru,Books,Yoga Mat,1,6535.17,6.42,Net Banking,Delivered,3.0,5.0,9999,Mobile,Social,20251.41,SAVE20,6115.61
ORD1036795,CUST81800,2024-09-25,25.0,Lucknow,Grocery,Organic Snacks,3,554.87,13.53,Credit Card,Delivered,4.5,3.0,,Mobile,Organic,6680.9,APP15,1439.39
ORD1068236,CUST26430,2025-05-13,49.0,Mumbai,Books,Yoga Mat,1,492.77,5.83,Debit Card,Delivered,5.0,2.0,2.22,Mobile,Paid Search,2568.38,WELCOME10,464.04
ORD1042679,CUST63340,2024-11-07,18.0,Jaipur,Books,Laptop Stand,1,3317.79,12.19,UPI,Delivered,4.3,3.0,65.64,Desktop,Organic,2289.06,APP15,2913.35
ORD1008018,CUST26666,2024-02-28,48.0,Chennai,Sports,Coffee Maker,1,411.54,10.85,UPI,Delivered,4.6, 1.0 ,3.26,Mobile,Organic,1123.03,WELCOME10,366.89
ORD1004684,CUST11790,2024-02-04,26.0,Mumbai,Grocery,Novel,1,578.19,24.79,Wallet,Delivered,4.2,1.0,11.41,Mobile,Organic,33126.46,WELCOME10,434.86
ORD1051492,CUST82733,2025-01-10,34.0,Hyderabad,Books,Organic Snacks,1,338.89,33.55,COD,Delivered,4.3,1.0,6.48,Mobile,Email,6290.93,APP15,225.19
ORD1002078,CUST13698,2024-01-16,18.0,Hyderabad,Toys,Smart Watch,3,842.01,12.52,COD,Cancelled,5.0,,3.72,Mobile,social media,8975.64,APP15,2209.77
ORD1076291,CUST64111,2025-07-10,39.0,Patna,Home & Kitchen,Smart Watch,1,1051.28,9.74,COD,Delivered,3.6,1.0,13.84,Mobile,Affiliate,15346.58,FESTIVE,948.89
ORD1068252,CUST22901,2025-05-13,32.0,Ahmedabad,Toys,Novel,1,475.31,6.59,Wallet,Delivered,3.6,3.0,13.24,Mobile,social media,11682.79,APP15,443.99
ORD1073823,CUST85489,2025-06-22,44.0,Patna,Books,Smart Watch,2,974.35,9.54,Net Banking,Processing,4.7,4.0,6.71,Mobile,Direct,2387.11,NONE,1762.79
ORD1044340,CUST59366,2024-11-19,28.0,Delhi,Toys,Running Shoes,1,553.17,8.07,COD,Delivered,4.2,1.0,16.59,Mobile,Social,1807.96,SAVE20,508.53
ORD1033230,CUST33586,2024-08-30,33.0,Hyderabad,Beauty,Yoga Mat,2,1304.18,14.19,Credit Card,Delivered,3.5,1.0,14.45,Mobile,Paid Search,1540.92,FESTIVE,2238.23
ORD1061712,CUST19163,2025-03-26,33.0,Bengaluru,Electronics,Laptop Stand,3,401.68,6.55,Wallet,Delivered,4.3,5.0,16.66,Mobile,Social,1716.6,WELCOME10,1126.11
ORD1020714,CUST52801,2024-05-31,29.0,Pune,Beauty,Smart Watch,2,160.62,4.52,Credit Card,Delivered,4.3,4.0,19.82,Mobile,Paid Search,1280.39,NONE,306.72
ORD1014334,CUST73528,2024-04-14,18.0,Pune,Books,Bluetooth Speaker,1,529.14,21.7,UPI,Processing,3.9,3.0,9.78,Mobile,Organic,3356.24,SAVE20,414.32
ORD1007853,CUST94408,2024-02-27,18.0,Pune,Sports,Coffee Maker,5,803.98,11.75,Debit Card,Delivered,3.6,6.0,6.36,Desktop,Organic,14837.13,APP15,3547.56
ORD1060868,CUST13621,2025-03-20,29.0,Lucknow,Books,Face Serum,3,902.01,9.46,Net Banking,Cancelled,,4.0,7.59,Mobile,Direct,5728.1,WELCOME10,2450.04
ORD1052716,CUST43884,2025-01-19,41.0,Delhi,Books,Novel,5,1681.66,6.54,COD,Delivered,4.3,3.0,13.49,Mobile,Organic,20569.8,NONE,7858.4
ORD1017234,CUST64044,2024-05-05,45.0,Chennai,Fashion,Yoga Mat,2,817.26,19.79,Credit Card,Processing,3.8,1.0,8.08,Desktop,Affiliate,2798.52,WELCOME10,1311.05
ORD1010700,CUST95063,2024-03-19,26.0,Delhi,Home & Kitchen,Wireless Headphones,2,491.14,7.8,COD,Processing,5.0,6.0,12.93,Mobile,Paid Search,20010.98,,905.66
ORD1024458,CUST68534,2024-06-27,26.0,Hyderabad,Electronics,Organic Snacks,1,1986.07,12.94,Debit Card,Delivered,3.8,7.0,2.8,Mobile,Affiliate,14123.33,SAVE20,1729.07
ORD1098831,CUST77262,2025-12-22,18.0,Ahmedabad,Grocery,Novel,2,699.4,5.92,Net Banking,Delivered,3.1,4.0,20.54,Mobile ,Email,4868.57,NONE,1315.99
ORD1068539,CUST76784,2025-05-15,45.0,Chennai,Books,Novel,2,300.05,9.64,,Delivered,2.6,9.0,14.35,Mobile,Affiliate,3125.42,NONE,542.25
ORD1069759,CUST63552,2025-05-24,39.0,Indore,Books,Laptop Stand,1,2747.37,23.66,Net Banking,Delivered,4.9,3.0,16.43,Mobile,Email,626.55,APP15,2097.34
ORD1088976,CUST14662,2025-10-11,28.0,Kolkata,Beauty,Bluetooth Speaker,1,219.89,3.68,Debit Card,Delivered,5.0,3.0,13.39,Mobile,Paid Search,2575.93,NONE,211.8
ORD1079473,CUST75051,2025-08-03,43.0,Pune,Beauty,Face Serum,4,475.52,13.78,UPI,Returned ,3.8,1.0,19.22,Tablet,Organic,2849.92,NEWUSER,1639.97
ORD1014920,CUST33284,2024-04-18,49.0,Ahmedabad,Sports,Smart Watch,1,1003.7,11.06,Debit Card,Delivered,3.6,45,3.16,Desktop,Organic,3602.8,WELCOME10,892.69
ORD1018933,CUST87972,2024-05-18,44.0,Patna,Toys,Bluetooth Speaker,3,6217.51,5.91,UPI,Returned,3.8,6.0,1.62,Desktop,Organic,2608.99,WELCOME10,17550.17
ORD1046193,CUST56108,2024-12-03,54.0,Bengaluru,Electronics,Novel,4,2314.74,3.77,COD,Delivered,4.2,5.0,4.1,Mobile,Direct,25041.09,NONE,8909.9
ORD1009794,CUST17534,2024-03-12,31.0,Kolkata,Beauty,Face Serum,3,1101.76,9.51,Credit Card,Returned,3.6,2.0,3.35,Mobile,Organic,3407.64,SAVE20,2990.95
